"","Package","Version"
"pls","pls","2.7-3"
"plyr","plyr","1.8.6"
"pracma","pracma","2.3.3"
"praise","praise","1.0.0"
"prettyunits","prettyunits","1.1.1"
"pROC","pROC","1.17.0.1"
"processx","processx","3.4.5"
"prodlim","prodlim","2019.11.13"
"profileModel","profileModel","0.6.1"
"progress","progress","1.2.2"
"promises","promises","1.2.0.1"
"proxy","proxy","0.4-25"
"ps","ps","1.5.0"
"purrr","purrr","0.3.4"
"quantreg","quantreg","5.86"
"quantregForest","quantregForest","1.3-7"
"questionr","questionr","0.7.4"
"qvcalc","qvcalc","1.0.2"
"R.cache","R.cache","0.15.0"
"R.methodsS3","R.methodsS3","1.8.1"
"R.oo","R.oo","1.24.0"
"R.utils","R.utils","2.10.1"
"R6","R6","2.5.0"
"randomForest","randomForest","4.6-14"
"ranger","ranger","0.12.1"
"RANN","RANN","2.6.1"
"rappdirs","rappdirs","0.3.3"
"rcmdcheck","rcmdcheck","1.3.3"
"RColorBrewer","RColorBrewer","1.1-2"
"Rcpp","Rcpp","1.0.6"
"RcppArmadillo","RcppArmadillo","0.10.2.1.0"
"RcppEigen","RcppEigen","0.3.3.9.1"
"RcppProgress","RcppProgress","0.4.2"
"readr","readr","1.4.0"
"readstata13","readstata13","0.9.2"
"readxl","readxl","1.3.1"
"recipes","recipes","0.1.16"
"rematch","rematch","1.0.1"
"rematch2","rematch2","2.1.2"
"remotes","remotes","2.3.0"
"repr","repr","1.1.3"
"reshape","reshape","0.8.8"
"reshape2","reshape2","1.4.4"
"rex","rex","1.2.0"
"RGA","RGA","0.4.2"
"rhub","rhub","1.1.1"
"rio","rio","0.5.27"
"RItools","RItools","0.1-17"
"rlang","rlang","0.4.10"
"rmarkdown","rmarkdown","2.8"
"robustbase","robustbase","0.93-8"
"ROCR","ROCR","1.0-11"
"roxygen2","roxygen2","7.1.1"
"rprojroot","rprojroot","2.0.2"
"rstudioapi","rstudioapi","0.13"
"rversions","rversions","2.1.1"
"rvest","rvest","1.0.0"
"sandwich","sandwich","3.0-0"
"sass","sass","0.4.0"
"scales","scales","1.1.1"
"selectr","selectr","0.4-2"
"sessioninfo","sessioninfo","1.1.1"
"shape","shape","1.4.5"
"shiny","shiny","1.6.0"
"skimr","skimr","2.1.3"
"snow","snow","0.4-3"
"sourcetools","sourcetools","0.1.7"
"sp","sp","1.4-5"
"SparseM","SparseM","1.81"
"sparsesvd","sparsesvd","0.2"
"spelling","spelling","2.2"
"spls","spls","2.2-3"
"SQUAREM","SQUAREM","2021.1"
"stargazer","stargazer","5.2.2"
"stringi","stringi","1.5.3"
"stringr","stringr","1.4.0"
"strucchange","strucchange","1.5-2"
"styler","styler","1.4.1"
"subselect","subselect","0.15.2"
"superpc","superpc","1.12"
"svd","svd","0.5"
"sys","sys","3.4"
"systemfit","systemfit","1.1-24"
"tables","tables","0.9.6"
"TeachingDemos","TeachingDemos","2.12"
"testthat","testthat","3.0.2"
"TH.data","TH.data","1.0-10"
"tibble","tibble","3.0.6"
"tictoc","tictoc","1.0.1"
"tidyr","tidyr","1.1.2"
"tidyselect","tidyselect","1.1.0"
"timeDate","timeDate","3043.102"
"tinytex","tinytex","0.32"
"uplift","uplift","0.3.5"
"usethis","usethis","2.0.1"
"utf8","utf8","1.1.4"
"uuid","uuid","0.1-4"
"vcd","vcd","1.4-8"
"vctrs","vctrs","0.3.6"
"VIM","VIM","6.1.0"
"viridisLite","viridisLite","0.3.0"
"waldo","waldo","0.2.4"
"whisker","whisker","0.4"
"whoami","whoami","1.3.0"
"withr","withr","2.4.1"
"wordspace","wordspace","0.2-6"
"xfun","xfun","0.23"
"xml2","xml2","1.3.2"
"xmlparsedata","xmlparsedata","1.0.5"
"xopen","xopen","1.0.0"
"xtable","xtable","1.8-4"
"yaml","yaml","2.2.1"
"zip","zip","2.2.0"
"zoo","zoo","1.8-8"
"base","base","3.6.3"
"boot","boot","1.3-24"
"class","class","7.3-15"
"cluster","cluster","2.1.0"
"codetools","codetools","0.2-16"
"compiler","compiler","3.6.3"
"datasets","datasets","3.6.3"
"foreign","foreign","0.8-75"
"graphics","graphics","3.6.3"
"grDevices","grDevices","3.6.3"
"grid","grid","3.6.3"
"KernSmooth","KernSmooth","2.23-16"
"lattice","lattice","0.20-40"
"MASS","MASS","7.3-51.5"
"Matrix","Matrix","1.2-18"
"methods","methods","3.6.3"
"mgcv","mgcv","1.8-31"
"nlme","nlme","3.1-144"
"nnet","nnet","7.3-13"
"parallel","parallel","3.6.3"
"rpart","rpart","4.1-15"
"spatial","spatial","7.3-11"
"splines","splines","3.6.3"
"stats","stats","3.6.3"
"stats4","stats4","3.6.3"
"survival","survival","3.1-8"
"tcltk","tcltk","3.6.3"
"tools","tools","3.6.3"
"utils","utils","3.6.3"
